"","Year","EventName","DriverId","TeamName","engine","works","Q1time","Rainfall","FullThrottlePct","SessionCondition","FastestQ1","GapToFastest","Circuit_Match","City","Country","Track.Length..km.","Turns","Direction","Circuit.Type","First.Grand.Prix","Last.Grand.Prix","Races","Best.Lap.Timing","Best.Lap.Driver","Best.Lap.Year","Best.Lap.Time","first.year","last.year"
"52",2014,"Bahrain Grand Prix","alonso","Ferrari","Ferrari",1,95.251,NA,NA,NA,94.874,0.37700000000001,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"53",2014,"Bahrain Grand Prix","raikkonen","Ferrari","Ferrari",1,95.234,NA,NA,NA,94.874,0.359999999999999,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"54",2014,"Bahrain Grand Prix","kvyat","Toro Rosso","Renault",0,95.395,NA,NA,NA,94.874,0.521000000000001,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"55",2014,"Bahrain Grand Prix","grosjean","Lotus","Renault",0,96.654,NA,NA,NA,94.874,1.78,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"56",2014,"Bahrain Grand Prix","chilton","Marussia","Ferrari",0,97.913,NA,NA,NA,94.874,3.039,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"57",2014,"Bahrain Grand Prix","maldonado","Lotus","Renault",0,96.663,NA,NA,NA,94.874,1.789,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"58",2014,"Bahrain Grand Prix","kobayashi","Caterham","Renault",0,97.085,NA,NA,NA,94.874,2.211,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"59",2014,"Bahrain Grand Prix","jules_bianchi","Marussia","Ferrari",0,97.31,NA,NA,NA,94.874,2.43600000000001,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"60",2014,"Bahrain Grand Prix","button","McLaren","Mercedes",0,95.699,NA,NA,NA,94.874,0.825000000000003,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
"61",2014,"Bahrain Grand Prix","kevin_magnussen","McLaren","Mercedes",0,95.288,NA,NA,NA,94.874,0.414000000000001,"Bahrain International Circuit","Sakhir"," Bahrain",5.412,15,"Clockwise","Race","2004 Bahrain Grand Prix","2025 Bahrain Grand Prix",22,"1:30.252","Michael Schumacher",2004,90.252,2004,2025
