Year,EventName,EventDate,Driver,Team,LapTime,FullThrottlePct
2023,Canadian Grand Prix,2023-06-18,ALB,Williams,0 days 00:01:18.725000,47.77594728171334
2023,Austrian Grand Prix,2023-07-02,VER,Red Bull Racing,0 days 00:01:04.391000,67.36401673640168
2023,British Grand Prix,2023-07-09,VER,Red Bull Racing,0 days 00:01:26.720000,67.15976331360946
2023,Hungarian Grand Prix,2023-07-23,HAM,Mercedes,0 days 00:01:16.609000,56.38297872340425
2023,Belgian Grand Prix,2023-07-30,VER,Red Bull Racing,0 days 00:01:46.168000,64.50809464508094
2023,Dutch Grand Prix,2023-08-27,VER,Red Bull Racing,0 days 00:01:10.567000,56.84007707129094
2023,Italian Grand Prix,2023-09-03,SAI,Ferrari,0 days 00:01:20.294000,73.25581395348837
2023,Singapore Grand Prix,2023-09-17,SAI,Ferrari,0 days 00:01:30.984000,51.09170305676856
2023,Japanese Grand Prix,2023-09-24,VER,Red Bull Racing,0 days 00:01:28.877000,64.86090775988286
2023,Qatar Grand Prix,2023-10-08,VER,Red Bull Racing,0 days 00:01:23.778000,60.44303797468354
2023,United States Grand Prix,2023-10-22,LEC,Ferrari,0 days 00:01:34.723000,55.57122708039493
2023,Mexico City Grand Prix,2023-10-29,LEC,Ferrari,0 days 00:01:17.166000,48.48993288590604
2023,São Paulo Grand Prix,2023-11-05,NOR,McLaren,0 days 00:01:10.021000,56.20437956204379
2023,Las Vegas Grand Prix,2023-11-18,LEC,Ferrari,0 days 00:01:32.726000,67.5177304964539
2023,Abu Dhabi Grand Prix,2023-11-26,VER,Red Bull Racing,0 days 00:01:23.445000,65.18282988871225
2024,Pre-Season Testing,2024-02-23,NOR,McLaren,0 days 00:01:29.525000,52.49266862170088
2024,Bahrain Grand Prix,2024-03-02,LEC,Ferrari,0 days 00:01:29.165000,59.97088791848617
2024,Saudi Arabian Grand Prix,2024-03-09,VER,Red Bull Racing,0 days 00:01:27.472000,76.53958944281524
2024,Australian Grand Prix,2024-03-24,VER,Red Bull Racing,0 days 00:01:15.915000,73.42419080068143
2024,Japanese Grand Prix,2024-04-07,VER,Red Bull Racing,0 days 00:01:28.197000,66.42335766423358
2024,Chinese Grand Prix,2024-04-21,VER,Red Bull Racing,0 days 00:01:33.660000,55.66298342541437
2024,Miami Grand Prix,2024-05-05,VER,Red Bull Racing,0 days 00:01:27.241000,59.253731343283576
2024,Emilia Romagna Grand Prix,2024-05-19,VER,Red Bull Racing,0 days 00:01:14.746000,68.50533807829181
2024,Monaco Grand Prix,2024-05-26,LEC,Ferrari,0 days 00:01:10.270000,44.526901669758814
2024,Canadian Grand Prix,2024-06-09,RUS,Mercedes,0 days 00:01:11.742000,62.76978417266187
2024,Spanish Grand Prix,2024-06-23,NOR,McLaren,0 days 00:01:11.383000,68.24817518248175
2024,Austrian Grand Prix,2024-06-30,VER,Red Bull Racing,0 days 00:01:04.314000,68.75
2024,British Grand Prix,2024-07-07,RUS,Mercedes,0 days 00:01:25.819000,69.39721792890263
2024,Hungarian Grand Prix,2024-07-21,NOR,McLaren,0 days 00:01:15.227000,55.67190226876091
2024,Belgian Grand Prix,2024-07-28,VER,Red Bull Racing,0 days 00:01:53.159000,58.41232227488151
2024,Dutch Grand Prix,2024-08-25,NOR,McLaren,0 days 00:01:09.673000,55.07518796992481
2024,Italian Grand Prix,2024-09-01,NOR,McLaren,0 days 00:01:19.327000,74.83766233766234
2024,Azerbaijan Grand Prix,2024-09-15,LEC,Ferrari,0 days 00:01:41.365000,59.24528301886792
2024,Singapore Grand Prix,2024-09-22,NOR,McLaren,0 days 00:01:29.525000,52.49266862170088
2024,United States Grand Prix,2024-10-20,NOR,McLaren,0 days 00:01:32.330000,57.40479548660085
2024,Mexico City Grand Prix,2024-10-27,SAI,Ferrari,0 days 00:01:15.946000,48.55195911413969
2024,São Paulo Grand Prix,2024-11-03,NOR,McLaren,0 days 00:01:23.405000,32.859399684044234
2024,Las Vegas Grand Prix,2024-11-23,RUS,Mercedes,0 days 00:01:32.312000,68.74135546334716
2024,Qatar Grand Prix,2024-12-01,VER,Red Bull Racing,0 days 00:01:20.520000,70.68403908794788
2024,Abu Dhabi Grand Prix,2024-12-08,NOR,McLaren,0 days 00:01:22.595000,65.42635658914729
2025,Pre-Season Testing,2025-02-28,RUS,Mercedes,0 days 00:01:29.158000,51.114413075780085
2025,Australian Grand Prix,2025-03-16,NOR,McLaren,0 days 00:01:15.096000,69.73451327433628
2025,Chinese Grand Prix,2025-03-23,PIA,McLaren,0 days 00:01:30.641000,56.41399416909621
2025,Japanese Grand Prix,2025-04-06,VER,Red Bull Racing,0 days 00:01:26.983000,67.58409785932722
2025,Bahrain Grand Prix,2025-04-13,PIA,McLaren,0 days 00:01:29.841000,58.68263473053892
2025,Saudi Arabian Grand Prix,2025-04-20,VER,Red Bull Racing,0 days 00:01:27.294000,75.15151515151514
2025,Miami Grand Prix,2025-05-04,VER,Red Bull Racing,0 days 00:01:26.204000,60.49382716049383
2025,Emilia Romagna Grand Prix,2025-05-18,PIA,McLaren,0 days 00:01:14.670000,65.94594594594595
2025,Monaco Grand Prix,2025-05-25,NOR,McLaren,0 days 00:01:09.954000,41.65067178502879
2025,Spanish Grand Prix,2025-06-01,PIA,McLaren,0 days 00:01:11.546000,63.23529411764706
2025,Canadian Grand Prix,2025-06-15,RUS,Mercedes,0 days 00:01:10.899000,65.9963436928702
2025,Austrian Grand Prix,2025-06-29,NOR,McLaren,0 days 00:01:03.971000,66.94560669456067
2025,British Grand Prix,2025-07-06,VER,Red Bull Racing,0 days 00:01:24.892000,65.57120500782473
2025,Belgian Grand Prix,2025-07-27,NOR,McLaren,0 days 00:01:40.562000,66.75461741424802
2025,Hungarian Grand Prix,2025-08-03,NOR,McLaren,0 days 00:01:14.890000,52.70506108202443
2025,Dutch Grand Prix,2025-08-31,PIA,McLaren,0 days 00:01:08.662000,56.81818181818182
2025,Italian Grand Prix,2025-09-07,VER,Red Bull Racing,0 days 00:01:18.792000,76.14991482112437
2025,Azerbaijan Grand Prix,2025-09-21,VER,Red Bull Racing,0 days 00:01:41.117000,60.53984575835476
