Year,EventName,DriverId,TeamName,engine,works,Q1time
2014,Belgian Grand Prix,ericsson,Caterham,Renault,0,134.438
2014,Belgian Grand Prix,jules_bianchi,Marussia,Ferrari,0,131.051
2014,Belgian Grand Prix,hamilton,Mercedes,Mercedes,1,127.28
2014,Belgian Grand Prix,grosjean,Lotus,Renault,0,130.898
2014,Belgian Grand Prix,maldonado,Lotus,Renault,0,131.261
2014,Belgian Grand Prix,lotterer,Caterham,Renault,0,133.469
2014,Italian Grand Prix,hamilton,Mercedes,Mercedes,1,85.363
2014,Italian Grand Prix,rosberg,Mercedes,Mercedes,1,85.493
2014,Italian Grand Prix,massa,Williams,Mercedes,0,85.52799999999999
2014,Italian Grand Prix,bottas,Williams,Mercedes,0,86.012
2014,Italian Grand Prix,ricciardo,Red Bull,Renault,0,86.721
2014,Italian Grand Prix,vettel,Red Bull,Renault,0,86.631
2014,Italian Grand Prix,perez,Force India,Mercedes,0,86.569
2014,Italian Grand Prix,button,McLaren,Mercedes,0,86.328
2014,Italian Grand Prix,raikkonen,Ferrari,Ferrari,1,86.689
2014,Italian Grand Prix,kevin_magnussen,McLaren,Mercedes,0,86.337
2014,Italian Grand Prix,kvyat,Toro Rosso,Renault,0,86.261
2014,Italian Grand Prix,hulkenberg,Force India,Mercedes,0,86.371
2014,Italian Grand Prix,vergne,Toro Rosso,Renault,0,86.14
2014,Italian Grand Prix,maldonado,Lotus,Renault,0,87.52
2014,Italian Grand Prix,sutil,Sauber,Ferrari,0,87.03399999999999
2014,Italian Grand Prix,grosjean,Lotus,Renault,0,87.632
2014,Italian Grand Prix,kobayashi,Caterham,Renault,0,87.67099999999999
2014,Italian Grand Prix,jules_bianchi,Marussia,Ferrari,0,87.738
2014,Italian Grand Prix,gutierrez,Sauber,Ferrari,0,86.999
2014,Italian Grand Prix,ericsson,Caterham,Renault,0,88.562
2014,Italian Grand Prix,alonso,Ferrari,Ferrari,1,86.514
2014,Italian Grand Prix,chilton,Marussia,Ferrari,0,88.247
2014,Singapore Grand Prix,hamilton,Mercedes,Mercedes,1,106.921
2014,Singapore Grand Prix,vettel,Red Bull,Renault,0,107.476
2014,Singapore Grand Prix,ricciardo,Red Bull,Renault,0,107.488
2014,Singapore Grand Prix,alonso,Ferrari,Ferrari,1,106.889
2014,Singapore Grand Prix,massa,Williams,Mercedes,0,107.615
2014,Singapore Grand Prix,vergne,Toro Rosso,Renault,0,107.407
2014,Singapore Grand Prix,perez,Force India,Mercedes,0,108.143
2014,Singapore Grand Prix,raikkonen,Ferrari,Ferrari,1,106.685
2014,Singapore Grand Prix,hulkenberg,Force India,Mercedes,0,107.37
2014,Singapore Grand Prix,kevin_magnussen,McLaren,Mercedes,0,107.976
2014,Singapore Grand Prix,bottas,Williams,Mercedes,0,107.196
2014,Singapore Grand Prix,maldonado,Lotus,Renault,0,109.063
2014,Singapore Grand Prix,grosjean,Lotus,Renault,0,107.862
2014,Singapore Grand Prix,kvyat,Toro Rosso,Renault,0,107.656
2014,Singapore Grand Prix,ericsson,Caterham,Renault,0,112.287
2014,Singapore Grand Prix,jules_bianchi,Marussia,Ferrari,0,109.44
2014,Singapore Grand Prix,chilton,Marussia,Ferrari,0,110.473
2014,Singapore Grand Prix,button,McLaren,Mercedes,0,107.161
2014,Singapore Grand Prix,sutil,Sauber,Ferrari,0,108.324
2014,Singapore Grand Prix,gutierrez,Sauber,Ferrari,0,107.97
2014,Singapore Grand Prix,rosberg,Mercedes,Mercedes,1,107.244
2014,Singapore Grand Prix,kobayashi,Caterham,Renault,0,110.405
2014,Japanese Grand Prix,hamilton,Mercedes,Mercedes,1,93.611
2014,Japanese Grand Prix,rosberg,Mercedes,Mercedes,1,93.671
2014,Japanese Grand Prix,vettel,Red Bull,Renault,0,95.517
2014,Japanese Grand Prix,ricciardo,Red Bull,Renault,0,95.593
2014,Japanese Grand Prix,button,McLaren,Mercedes,0,95.15
2014,Japanese Grand Prix,bottas,Williams,Mercedes,0,94.301
2014,Japanese Grand Prix,massa,Williams,Mercedes,0,94.483
2014,Japanese Grand Prix,hulkenberg,Force India,Mercedes,0,95
2014,Japanese Grand Prix,vergne,Toro Rosso,Renault,0,95.155
2014,Japanese Grand Prix,perez,Force India,Mercedes,0,95.439
2014,Japanese Grand Prix,kvyat,Toro Rosso,Renault,0,95.21
2014,Japanese Grand Prix,raikkonen,Ferrari,Ferrari,1,94.984
2014,Japanese Grand Prix,gutierrez,Sauber,Ferrari,0,95.308
2014,Japanese Grand Prix,kevin_magnussen,McLaren,Mercedes,0,94.93
2014,Japanese Grand Prix,grosjean,Lotus,Renault,0,95.984
2014,Japanese Grand Prix,maldonado,Lotus,Renault,0,95.917
2014,Japanese Grand Prix,ericsson,Caterham,Renault,0,96.813
2014,Japanese Grand Prix,chilton,Marussia,Ferrari,0,97.481
2014,Japanese Grand Prix,kobayashi,Caterham,Renault,0,97.015
2014,Japanese Grand Prix,jules_bianchi,Marussia,Ferrari,0,96.943
2014,Japanese Grand Prix,sutil,Sauber,Ferrari,0,95.736
2014,Japanese Grand Prix,alonso,Ferrari,Ferrari,1,94.497
2014,Russian Grand Prix,hamilton,Mercedes,Mercedes,1,98.759
2014,Russian Grand Prix,rosberg,Mercedes,Mercedes,1,99.076
2014,Russian Grand Prix,bottas,Williams,Mercedes,0,99.125
2014,Russian Grand Prix,button,McLaren,Mercedes,0,99.56
2014,Russian Grand Prix,kevin_magnussen,McLaren,Mercedes,0,99.735
2014,Russian Grand Prix,alonso,Ferrari,Ferrari,1,100.255
2014,Russian Grand Prix,ricciardo,Red Bull,Renault,0,100.519
2014,Russian Grand Prix,vettel,Red Bull,Renault,0,100.382
2014,Russian Grand Prix,raikkonen,Ferrari,Ferrari,1,100.098
2014,Russian Grand Prix,perez,Force India,Mercedes,0,100.723
2014,Russian Grand Prix,massa,Williams,Mercedes,0,103.064
2014,Russian Grand Prix,hulkenberg,Force India,Mercedes,0,100.273
2014,Russian Grand Prix,vergne,Toro Rosso,Renault,0,100.354
2014,Russian Grand Prix,kvyat,Toro Rosso,Renault,0,100.074
2014,Russian Grand Prix,gutierrez,Sauber,Ferrari,0,101.159
2014,Russian Grand Prix,sutil,Sauber,Ferrari,0,100.766
2014,Russian Grand Prix,grosjean,Lotus,Renault,0,102.526
2014,Russian Grand Prix,maldonado,Lotus,Renault,0,103.205
2014,Russian Grand Prix,ericsson,Caterham,Renault,0,102.648
2014,Russian Grand Prix,kobayashi,Caterham,Renault,0,103.166
2014,Russian Grand Prix,chilton,Marussia,Ferrari,0,103.649
2014,United States Grand Prix,hamilton,Mercedes,Mercedes,1,97.196
2014,United States Grand Prix,rosberg,Mercedes,Mercedes,1,98.303
2014,United States Grand Prix,ricciardo,Red Bull,Renault,0,98.814
2014,United States Grand Prix,massa,Williams,Mercedes,0,97.877
2014,United States Grand Prix,bottas,Williams,Mercedes,0,98.249
2014,United States Grand Prix,alonso,Ferrari,Ferrari,1,98.349
2014,United States Grand Prix,vettel,Red Bull,Renault,0,99.621
2014,United States Grand Prix,kevin_magnussen,McLaren,Mercedes,0,98.557
2014,United States Grand Prix,maldonado,Lotus,Renault,0,98.608
2014,United States Grand Prix,vergne,Toro Rosso,Renault,0,99.25
2014,United States Grand Prix,grosjean,Lotus,Renault,0,99.679
2014,United States Grand Prix,button,McLaren,Mercedes,0,98.574
2014,United States Grand Prix,raikkonen,Ferrari,Ferrari,1,98.669
2014,United States Grand Prix,gutierrez,Sauber,Ferrari,0,99.555
2014,United States Grand Prix,kvyat,Toro Rosso,Renault,0,98.936
2014,United States Grand Prix,hulkenberg,Force India,Mercedes,0,98.931
2014,United States Grand Prix,perez,Force India,Mercedes,0,99.2
2014,United States Grand Prix,sutil,Sauber,Ferrari,0,98.855
2014,Brazilian Grand Prix,rosberg,Mercedes,Mercedes,1,70.347
2014,Brazilian Grand Prix,hamilton,Mercedes,Mercedes,1,70.457
2014,Brazilian Grand Prix,massa,Williams,Mercedes,0,70.602
2014,Brazilian Grand Prix,button,McLaren,Mercedes,0,71.097
2014,Brazilian Grand Prix,vettel,Red Bull,Renault,0,71.88
2014,Brazilian Grand Prix,alonso,Ferrari,Ferrari,1,71.55799999999999
2014,Brazilian Grand Prix,raikkonen,Ferrari,Ferrari,1,71.193
2014,Brazilian Grand Prix,hulkenberg,Force India,Mercedes,0,71.848
2014,Brazilian Grand Prix,kevin_magnussen,McLaren,Mercedes,0,71.134
2014,Brazilian Grand Prix,bottas,Williams,Mercedes,0,70.832
2014,Brazilian Grand Prix,kvyat,Toro Rosso,Renault,0,71.423
2014,Brazilian Grand Prix,maldonado,Lotus,Renault,0,72.233
2014,Brazilian Grand Prix,vergne,Toro Rosso,Renault,0,72.03999999999999
2014,Brazilian Grand Prix,gutierrez,Sauber,Ferrari,0,71.52
2014,Brazilian Grand Prix,perez,Force India,Mercedes,0,72.076
2014,Brazilian Grand Prix,sutil,Sauber,Ferrari,0,71.943
2014,Brazilian Grand Prix,grosjean,Lotus,Renault,0,72.037
2014,Brazilian Grand Prix,ricciardo,Red Bull,Renault,0,71.593
2014,Abu Dhabi Grand Prix,hamilton,Mercedes,Mercedes,1,101.207
2014,Abu Dhabi Grand Prix,massa,Williams,Mercedes,0,101.475
2014,Abu Dhabi Grand Prix,bottas,Williams,Mercedes,0,102.346
